model,question_id,question,correct_answer,model_answer,is_correct,bleu,f1,response_time,error_message
MiniLM-L12,1,حكم الطهارة لمن أراد أداء الصلاة:,أ, الجواب: أ: واجبة بإجماع المسلمين ,True,0.008377152169377823,1.0,19.850504398345947,
MiniLM-L12,2,ما هو حكم الوضوء بفضل وضوء مسلم آخر:,ب, ب: جائز بإجماع العلماء ,True,0.011199617145528714,1.0,3.389270544052124,
MiniLM-L12,3,حكم وضوء الرجل والمرأة معاً في إناء واحد:,ج, ج: جائز بإجماع العلماء ,True,0.011199617145528714,1.0,3.735919952392578,
MiniLM-L12,4,حكم ماء البحر للوضوء:,أ, الجواب الصحيح هو: أ: طهور بإجماع العلماء ,True,0.00702083472657119,1.0,4.030732870101929,
MiniLM-L12,5,حكم الوضوء بالمائعات غير الماء:,ب, ب: لا يجوز بإجماع العلماء (عدا النبيذ محل خلاف) ,True,0.00616976802746866,1.0,3.393484354019165,
MiniLM-L12,6,حكم الاستنجاء بالماء:,ب, ب: جائز ومجمع عليه ,True,0.013038525962482981,1.0,3.784315824508667,
MiniLM-L12,7,حكم الاستجمار بالأحجار:,ب, ب: جائز ومجمع عليه ,True,0.013038525962482981,1.0,3.0798885822296143,
MiniLM-L12,8,حكم الجمع بين الاستجمار والاستنجاء بالماء:,ب, ب: جائز ومجمع عليه ,True,0.013038525962482981,1.0,2.6888833045959473,
MiniLM-L12,9,حكم الاستجمار بغير الحجارة:,ب, ب: جائز بالطاهر المنقي ما لم يكن طعاماً ,True,0.0071638813215387015,1.0,4.304791688919067,
MiniLM-L12,10,حكم الاستجمار مع وجود الماء:,ب, ب: جائز ومجمع عليه ,True,0.013038525962482981,1.0,3.866236925125122,
MiniLM-L12,11,حكم الاستنجاء باليد اليمنى:,ب, ب: منهي عنه بإجماع العلماء ,True,0.009849574084214482,1.0,2.9705710411071777,
MiniLM-L12,12,حكم السواك عند الصلاة:,ب, ب: مستحب ومشروع بإجماع العلماء ,True,0.008811835296733616,1.0,3.02337908744812,
MiniLM-L12,13,حكم الختان للرجال:,ب, ب: من سنن الإسلام ومشروع بإجماع العلماء ,True,0.0071638813215387015,1.0,3.2212326526641846,
MiniLM-L12,14,حكم التثليث في الوضوء:,ب, الجواب: ب: غير واجب بإجماع العلماء ,True,0.007986728673290205,1.0,2.8961658477783203,
MiniLM-L12,15,ما هو حكم استقبال القبلة في الصلاة:,ب, ب: واجب بإجماع العلماء ,True,0.011199617145528714,1.0,3.793401002883911,
MiniLM-L12,16,حكم الطهارة للصلاة:,ب, ب: واجبة بإجماع المسلمين ,True,0.010477009940175953,1.0,2.6946513652801514,
MiniLM-L12,17,حكم قراءة الفاتحة في الصلاة:,ب, ب: واجبة بإجماع العلماء ,True,0.010825057921671676,1.0,3.081540822982788,
MiniLM-L12,18,حكم الزكاة في الإسلام:,ب, ب: واجبة بإجماع المسلمين ,True,0.010477009940175953,1.0,3.117971420288086,
