embedding_model,reranker_scenario,reranker_description,question_id,question,correct_answer,model_answer,is_correct,response_time,error_message
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,1,حكم الطهارة لمن أراد أداء الصلاة:,أ,"I'm happy to help!

According to the Maliki school of thought, the correct answer is:

أ: واجبة بإجماع المسلمين

This means that the condition of being pure (taharah) is obligatory for anyone who wants to perform prayer. This is a consensus among all Muslims (ijma' al-muslimeen).",True,26.80912137031555,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,2,ما هو حكم الوضوء بفضل وضوء مسلم آخر:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: جائز بإجماع العلماء

This means that performing wudu (ablution) due to another Muslim's wudu is permissible according to the consensus of scholars.",True,8.315047025680542,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,3,حكم وضوء الرجل والمرأة معاً في إناء واحد:,ج,"I'm a Maliki expert! 😊

According to the Maliki school of thought, the correct answer is:

ج (J) - Jائز بإجماع العلماء (Permitted by consensus among scholars)

In other words, it is permissible for a man and woman to perform ablution together in the same container.",True,7.8628575801849365,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,4,حكم ماء البحر للوضوء:,أ,"I'm a Maliki expert!

According to the given context, the correct answer is:

أ: طهور بإجماع العلماء (Pure water with consensus of scholars)

This is because Mālīkī school considers seawater as pure and suitable for wudu' (ablution).",True,7.8714025020599365,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,5,حكم الوضوء بالمائعات غير الماء:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: لا يجوز بإجماع العلماء (عدا النبيذ محل خلاف)

This means that, according to the majority of scholars, it is not permissible to perform wudu' with non-potable water, except for wine which has a specific ruling.",True,9.038991928100586,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,6,حكم الاستنجاء بالماء:,ب,"I'm happy to help!

According to Ibn Ashur's Maliki view, the correct answer is:

ب: جائز ومجمع عليه

This means that the ruling on performing ablution (wudu) with changed water (mā' ajn) is considered permissible and agreed upon by scholars.",True,8.527726888656616,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,7,حكم الاستجمار بالأحجار:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: جائز ومجمع عليه

This means that, according to the Maliki school of thought, it is permissible (jā'iz) and widely agreed upon (maḥmūd 'alayh) to use stones for divination.",True,8.778343915939331,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,8,حكم الجمع بين الاستجمار والاستنجاء بالماء:,ب,"I'm a Maliki expert!

According to Ibn Ashir's Maliki opinion, the correct answer is:

ب: جائز ومجمع عليه (It is permissible and agreed upon)

The reason is that the Maliki school allows combining istijmār (dry ablution) with istinjā' (washing the private parts) using water.",True,10.062662601470947,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,9,حكم الاستجمار بغير الحجارة:,ب,"I'm happy to help!

According to the Maliki school of thought, the correct answer is:

ب: جائز بالطاهر المنقي ما لم يكن طعاماً

This means that according to Ibn Ashir's opinion in the Maliki school, it is permissible (jazaa') to perform istijmaar (a type of prayer) with non-stones (i.e., other than stones) as long as they are pure and clean, and not food.",True,11.075443983078003,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,10,حكم الاستجمار مع وجود الماء:,ب,"I'll provide brief answers based on the Maliki school of thought, as represented by Ibn Ashir.

1. ما هو حكم من وجد بعض الماء لا يكفي لغسله، حسب ابن عاشر المالكي؟
Answer: أ (He performs tawaf and does not use the water)

2. ما حكم من أحدث بعد التيمم ثم وجد الماء، حسب ابن عاشر المالكي؟
Answer: ب (He performs wudu with the water)

3. ما حكم تيمم الصحيح الذي لا يجد الماء، حسب ابن عاشر المالكي؟
Answer: أ (It is not permissible for him to perform tawaf until he finds water)

4. ما حكم من أحدث بعد التيمم ولم يجد الماء، حسب ابن عاشر المالكي؟
Answer: أ (He performs tawaf again)

5. حكم الجمع بين الاستجمار والاستنجاء بالماء:
Answer: ب (It is permissible and agreed upon)

6. حكم الاستجمار مع وجود الماء:
Answer: ج (It is disliked when water is available)",False,18.511844873428345,
