question_id,question,correct_answer,model_answer,is_correct,response_time,error_message
1,حكم الطهارة لمن أراد أداء الصلاة:,أ,"I'm happy to help!

According to Maliki fiqh, the correct answer is:

ب: مستحبة عند جمهور العلماء

In Maliki school of thought, the ruling on ablution (wudu) for prayer is considered mustahabb (recommended) by the majority of scholars.",False,7.301957845687866,
2,ما هو حكم الوضوء بفضل وضوء مسلم آخر:,ب,"كما خبير في الفقه المالكي، أجب عن السؤال مباشرة.

الإجابة: ب: جائز بإجماع العلماء

في الفقه المالكي، يعتبر الوضوء بفضل وضوء مسلم آخر جائزاً (مباح) لعدم وجود نص صريح في الكتاب والسنن يمنع ذلك.",True,5.987815856933594,
3,حكم وضوء الرجل والمرأة معاً في إناء واحد:,ج,"كما خبير في الفقه المالكي، أجيب عن السؤال مباشرة.

الإجابة: أ: محرم بإجماع العلماء

في الفقه المالكي، يعتبر وضوء الرجل والمرأة معاً في إناء واحد محرماً من الناحية الشرعية، حيث أن هذا النوع من الوضوء لا يتوافق مع الشروط التي شرطها الإسلام لصحة الوضوء.",False,6.89258337020874,
4,حكم ماء البحر للوضوء:,أ,"كما خبير في الفقه المالكي، أجيب عن السؤال مباشرة.

الإجابة: أ: طهور

في الفقه المالكي، يعتبر ماء البحر طهوراً صالحاً للاستخدام في الوضوء، كما هو اتفاق العلماء.",True,5.1288018226623535,
5,حكم الوضوء بالمائعات غير الماء:,ب,"كما خبير في الفقه المالكي، أجيب عن السؤال مباشرة.

الإجابة: ب: لا يجوز بإجماع العلماء (عدا النبيذ محل خلاف)

في الفقه المالكي، يعتبر الوضوء بالمائعات غير الماء كغير جائز، باستثناء النبيذ الذي يعتبر ماءً صالحًا للوضوء.",True,6.483766555786133,
6,حكم الاستنجاء بالماء:,ب,"كما خبير في الفقه المالكي، أجيب عن السؤال مباشرة.

الإجابة: أ: واجب بإجماع العلماء

في الفقه المالكي، الاستنجاء بالماء هو فعل واجب، أي أن كل مسلم يجب عليه أن يستنق بالماء بعد التبول أو الوقوع في الحدث. هذا هو الإجماع بين العلماء في المذهب المالكي.",True,6.36916446685791,
7,حكم الاستجمار بالأحجار:,ب,"كما خبير في الفقه المالكي، أجيب عن السؤال مباشرة.

الإجابة: أ: محرم بإجماع العلماء

في الفقه المالكي، الاستجمار بالأحجار (أي التماس البركة أو النصيحة من خلال وضع الأحجار على الجسد) محرم بإجماع العلماء. فالمالكية ترفض هذه الممارسة لأنها لا ترى فيها أي دليل شرعي في الكتاب والسنن، ولا يرى فيها أي فائدة دينية حقيقية.",True,8.058346033096313,
8,حكم الجمع بين الاستجمار والاستنجاء بالماء:,ب,"كما خبير في الفقه المالكي، أجيب عن السؤال مباشرة.

الإجابة: ب: جائز ومجمع عليه

في الفقه المالكي، يعتبر الجمع بين الاستجمار والاستنجاء بالماء جائزاً ومجمع عليه، أي أن هذا النوع من الجمع لا يعد محرماً ولا مكروهاً عند العلماء والمجتمع.",True,6.238039016723633,
9,حكم الاستجمار بغير الحجارة:,ب,"كما خبير في الفقه المالكي، أجيب عن السؤال مباشرة.

الإجابة: ب: جائز بالطاهر المنقي ما لم يكن طعاماً

في الفقه المالكي، الاستجمار (أي التماسك) بغير الحجارة جائز إذا كان الطاهر المنقي (الماء النظيف) ولا يكون طعاماً. أما إذا كان طعاماً أو لا يكون طهماً منقيًا، فيكون محرماً.",True,7.674079179763794,
10,حكم الاستجمار مع وجود الماء:,ب,"كما خبير في الفقه المالكي، أجيب عن السؤال مباشرة.

الإجابة: أ: محرم مع وجود الماء

ففي الفقه المالكي، الاستجمار (أي التمتع بالجنس) محرم عندما يكون هناك ماء، لأن هذا يعد من أنواع النكاح والزواج، والذي هو محرم في الإسلام إلا بالشروط الشرعية.",False,6.3035194873809814,
11,حكم الاستنجاء باليد اليمنى:,ب,"كما خبير في الفقه المالكي، أجب عن السؤال مباشرة.

الإجابة: ب: منهي عنه بإجماع العلماء

في الفقه المالكي، الاستنجاء باليد اليمنى من الناحية الشرعية منتهى عنه، لأن النبي محمد صلى الله عليه وسلم استنجأ باليد اليسرى، فكانت هذه السنة النبوية ملازمة لما جاء في القرآن الكريم: ""وَإِنْ كُنْتُمْ أَوْ رَكْبٌ فَلَا تَقُولُوا أَجْنِيبَةً وَلَكِنْ قُولُوا تَشْهَدُونَ"" [النور: 36].",False,10.532451868057251,
12,حكم السواك عند الصلاة:,ب,"كما خبير في الفقه المالكي، أجيب عن السؤال مباشرة.

الإجابة: ب: مستحب ومشروع بإجماع العلماء

في الفقه المالكي، السواك (أي تنظيف الأسنان) قبل الصلاة مستحب ومشروع، ولا يوجد إجماع العلماء على وجوبه.",True,5.582045555114746,
13,حكم الختان للرجال:,ب,"كما خبير في الفقه المالكي، أجيب عن السؤال مباشرة.

الإجابة: ب: من سنن الإسلام ومشروع بإجماع العلماء

في الفقه المالكي، الختان للرجال هو من سنن الإسلام، أي أنها سنة نبوية، ولا يوجد إجماع العلماء على وجوبها، ولكنها مشروعة فيما إذا كان هناك فائدة منها، مثل تطهير الجسم أو تحسين الصحة.",True,7.465095520019531,
14,حكم التثليث في الوضوء:,ب,"كما خبير في الفقه المالكي، أجيب عن السؤال مباشرة.

الإجابة: أ: واجب بإجماع العلماء

في الفقه المالكي، التثليث في الوضوء هو واجب، أي أن الشخص يجب أن يكرر ثلاث مرات قوله ""أشهد أن لا إله إلا الله وأشهد أن محمدا رسول الله"" بعد كل وضوء. هذا هو الإجماع بين العلماء المالكية.",True,7.2526161670684814,
15,ما هو حكم استقبال القبلة في الصلاة:,ب,"ب: واجب بإجماع العلماء

(According to Maliki fiqh, the correct answer is that facing the qiblah (direction of the Kaaba) in prayer is obligatory, and it is agreed upon by all scholars.)",True,4.051061391830444,
16,حكم الطهارة للصلاة:,ب,"ب: واجبة بإجماع المسلمين

(According to Maliki fiqh, the ruling on ablution for prayer is that it is obligatory, and this is agreed upon by all Muslims.)",True,3.5066328048706055,
17,حكم قراءة الفاتحة في الصلاة:,ب,"ب: واجبة بإجماع العلماء

(According to Maliki fiqh, reading the Fatiha (Qur'an 1) in prayer is considered obligatory by consensus of scholars.)",True,3.5168561935424805,
18,حكم الزكاة في الإسلام:,ب,"ب: واجبة بإجماع المسلمين

(According to Maliki fiqh, zakat is considered a mandatory obligation (wajib) and not just recommended or sunnah. This is based on the consensus of Muslim scholars across different schools of thought.)",True,4.410629510879517,
19,حكم التيمم عند عدم وجود الماء:,ب,"كما خبير في الفقه المالكي، أجيب عن السؤال مباشرة.

الإجابة: ب: جائز بإجماع العلماء

في الفقه المالكي، التيمم (غسل اليدين والرجلين بالتراب أو غيره) عند عدم وجود الماء هو جائز، ولهذا الإجماع بين العلماء.",True,5.859503269195557,
20,حكم المسح على الخفين:,ب,"كما خبير في الفقه المالكي، أجيب عن السؤال مباشرة.

الإجابة: أ (محرم بإجماع العلماء)

في الفقه المالكي، المسح على الخفين محرم، أي غير مشروع، ولهذا لا يُسمح به في الإسلام.",False,5.325169324874878,
