embedding_model,reranker_scenario,reranker_description,question_id,question,correct_answer,model_answer,is_correct,bleu,f1,response_time,error_message
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,1,حكم الطهارة لمن أراد أداء الصلاة:,أ, الجواب: أ: واجبة بإجماع المسلمين ,True,0.008377152169377823,1.0,19.78985571861267,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,2,ما هو حكم الوضوء بفضل وضوء مسلم آخر:,ب, ب: جائز بإجماع العلماء ,True,0.011199617145528714,1.0,4.390992641448975,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,3,حكم وضوء الرجل والمرأة معاً في إناء واحد:,ج, ج: جائز بإجماع العلماء ,True,0.011199617145528714,1.0,2.9874067306518555,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,4,حكم ماء البحر للوضوء:,أ, الجواب: أ: طهور بإجماع العلماء ,True,0.008811835296733616,1.0,3.7669293880462646,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,5,حكم الوضوء بالمائعات غير الماء:,ب, ب: لا يجوز بإجماع العلماء (عدا النبيذ محل خلاف) ,True,0.00616976802746866,1.0,3.939354419708252,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,6,حكم الاستنجاء بالماء:,ب, ب: جائز ومجمع عليه ,True,0.013038525962482981,1.0,4.976164102554321,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,7,حكم الاستجمار بالأحجار:,ب, ب: جائز ومجمع عليه ,True,0.013038525962482981,1.0,3.5337705612182617,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,8,حكم الجمع بين الاستجمار والاستنجاء بالماء:,ب, الجواب: ج: مكروه عند الجمهور ,False,0.0092991042878441,0.0,4.304973363876343,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,9,حكم الاستجمار بغير الحجارة:,ب, ب: جائز بالطاهر المنقي ما لم يكن طعاماً ,True,0.0071638813215387015,1.0,4.7933735847473145,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,10,حكم الاستجمار مع وجود الماء:,ب, الجواب: ج: مكروه مع وجود الماء ,False,0.008811835296733616,0.0,3.912452220916748,
