question_id,question,options,correct_answer,model_answer,is_correct,response_time,error_message
1,حكم الطهارة لمن أراد أداء الصلاة:,"أ: واجبة بإجماع المسلمين
ب: مستحبة عند جمهور العلماء
ج: سنة مؤكدة",أ,واجبية الطهارة قبل الصلاة هي إجماع بين علماء الدين، بما في ذلك المذهب المالكي. لذا، الخيار الصحيح هو (أ).,False,13.814775705337524,
2,ما هو حكم الوضوء بفضل وضوء مسلم آخر:,"أ: محرم بإجماع العلماء
ب: جائز بإجماع العلماء
ج: مكروه عند جمهور العلماء",ب,ج: مكروه عند جمهور العلماء، لكن بعض الفقهاء المالكيين يرون أنه مباح. ومع ذلك، لا يوجد إجماع بين جميع العلماء على هذا الأمر. ولكن بناءً على الرأي الأكثر شيوعاً، يمكن القول أن الخيار (ج) هو الأقرب للحقيقة في الفقه المالكي حيث يُعتبر الوضوء بفضل وضوء مسلم آخر مكروهاً. لكن يجب التنويه إلى أنه ليس هناك إجماع كامل بين جميع العلماء حول هذا الموضوع.,True,10.399881839752197,
3,حكم وضوء الرجل والمرأة معاً في إناء واحد:,"أ: محرم بإجماع العلماء
ب: مكروه عند الجمهور
ج: جائز بإجماع العلماء",ج,ج: غير جائز، لكن هذا ليس بالإجماع. الحقيقة هي أن جمهور الفقهاء يرون الوضوء من إناء واحد بين الرجل والمرأة مكروهٌ، بينما بعضهم مثل المالكية يعتبرونه حرامًا. ولكن لا يمكن القول بأن جميع العلماء متفقون على حرمته (أ) ولا على جوازه (ج). لذلك، الخيار الأكثر دقة ليس موجود ضمن هذه الاختيارات الثلاثة كما تم صياغتها. لكن بناءً على المعلومات المتاحة، سيكون أقرب خيار هو ب: مكروه عند الجمهور. ولكن يجب أن نلاحظ أن هذا لا يعكس الإجماع الكامل بين العلماء.,False,13.435052156448364,
4,حكم ماء البحر للوضوء:,"أ: طهور بإجماع العلماء
ب: نجس بإجماع العلماء
ج: مكروه للوضوء",أ,الإجابة: أ - طهور بإجماع العلماء. لكن يجب التنويه أن هذا الرأي ليس بالإجماع الكامل بين جميع الفقهاء، حيث يرى بعضهم أنه لا يجوز الوضوء بماء البحر بسبب الملح فيه، ولكن الأكثرية من الفقهاء المالكيين يرون أنه يمكن استخدامه للوضوء. ومع ذلك، فإن الخيار (أ) هو الأقرب للإجابة بناءً على الفقه المالكي التقليدي.,False,8.89491891860962,
5,حكم الوضوء بالمائعات غير الماء:,"أ: جائز بإجماع العلماء
ب: لا يجوز بإجماع العلماء (عدا النبيذ محل خلاف)
ج: مستحب عند الحاجة",ب,"ب: لا يجوز بإجماع العلماء (عدا النبيذ، حيث يوجد اختلاف بين الفقهاء). لكن يجب التنويه أن هذا الخلاف يخص المذهب الحنفي وليس الفقه المالكي تحديداً. في الفقه المالكي، الوضوء بغير الماء غير مقبول بشكل عام.

لكن بناءً على السؤال المطروح ضمن إطار الفقه المالكي، فإن الإجابة الأقرب ستكون: لا يوجد خيار صحيح بين الخيارات المعطاة لأن الفقه المالكي يرفض الوضوء بغير الماء تماماً وليس فقط بإجماع العلماء (بما في ذلك النبيذ). لكن بناءً على الخيارات المقدمة، يمكن القول أن **لا** من هذه الخيارات صحيحة بشكل كامل ضمن إطار الفقه المالكي.

(ملاحظة: هذا تفسير معقد للسؤال وقد يكون هناك حاجة لمزيد من التوضيح حسب السياق الدقيق للتعليمات).
الثقة: 90%",True,18.236520051956177,
6,حكم الاستنجاء بالماء:,"أ: واجب بإجماع العلماء
ب: جائز ومجمع عليه
ج: مستحب عند الجمهور",ب,"ب: جائز ومجمع عليه بين الفقهاء المالكيين، لكن يُفضل أن يكون واجباً بناءً على آراء بعض العلماء الآخرين خارج المذهب المالكي. ومع ذلك، وفقاً للمذهب المالكي نفسه، فإن الاستنجاء بالماء هو **جائز** وليس واجبًا بإجماعهم. لذا، الخيار الصحيح هنا سيكون (ب). لكن يجب التنويه أن هذا قد يتغير بناءً على التفسيرات الدقيقة داخل المذاهب الفقهية المختلفة. 

ولكن للإجابة بشكل أكثر دقة وفقاً للمذهب المالكي فقط: **(ب)** جائز ومجمع عليه بين الفقهاء المالكيين.",True,12.300173044204712,
7,حكم الاستجمار بالأحجار:,"أ: محرم بإجماع العلماء
ب: جائز ومجمع عليه
ج: مكروه عند الجمهور",ب,"ج: مكروه عند الجمهور، لكنه ليس محرماً بالإجماع. ومع ذلك، يُفضل استخدام الماء للاستجمار كما هو معروف في الفقه المالكي. ولكن لا يوجد إجماع على تحريمه بالأحجار بشكل قاطع. لذا، يمكن القول أن الخيار (أ) غير صحيح تماماً بناءً على التفصيل الدقيق للفقه المالكي. لكن بالنظر إلى السياق الأكثر شيوعاً، فإن ""مكروه"" قد يكون أفضل وصف بين هذه الخيارات الثلاثة. ولكن يجب التنويه بأن هذا ليس إجماع كامل في الفقه المالكي.",True,11.186007499694824,
8,حكم الجمع بين الاستجمار والاستنجاء بالماء:,"أ: محرم بإجماع العلماء
ب: جائز ومجمع عليه
ج: مكروه عند الجمهور",ب,"ج: مكروه عند الجمهور، لكن بعض الفقهاء المالكيين يرون أنه مباح. ومع ذلك، فإن الخيار الأكثر شيوعاً بين المالكية هو أن الجمع بين الاستجمار والاستنجاء بالماء ليس مستحباً ولكنه لا يُحرّم أيضاً. ولكن يجب التنويه إلى أن هذا الرأي قد يتغير بناءً على التفاصيل الدقيقة للظروف التي يتم فيها القيام بهذه الأفعال. لكن بشكل عام، الخيار (ج) هو الأكثر شيوعاً بين المالكية.

(ولكن للإجابة ببساطة وفق الخيارات المعطاة: ج)",True,12.45619821548462,
9,حكم الاستجمار بغير الحجارة:,"أ: محرم بإجماع العلماء
ب: جائز بالطاهر المنقي ما لم يكن طعاماً
ج: واجب استخدام الحجارة فقط",ب,"ب: جائز بالطاهر المنقي ما لم يكن طعاماً

(لكن يجب التنويه أن هذا الحكم ليس بالإجماع، بل هو رأي بعض العلماء بما في ذلك المالكية) ولكن بناءً على الخيارات المعطاة، فإن (ب) يمثل أفضل خيار متاح.",True,6.651589393615723,
10,حكم الاستجمار مع وجود الماء:,"أ: محرم مع وجود الماء
ب: جائز ومجمع عليه
ج: مكروه مع وجود الماء",ب,ج: مكروه مع وجود الماء,False,1.5631887912750244,
11,حكم الاستنجاء باليد اليمنى:,"أ: جائز بإجماع العلماء
ب: منهي عنه بإجماع العلماء
ج: مستحب عند الحاجة",ب,ب: منهي عنه بإجماع العلماء,True,2.060622453689575,
12,حكم السواك عند الصلاة:,"أ: واجب بإجماع العلماء
ب: مستحب ومشروع بإجماع العلماء
ج: مباح فقط",ب,ب: مستحب ومشروع بإجماع العلماء,True,1.975764274597168,
13,حكم الختان للرجال:,"أ: واجب بإجماع العلماء
ب: من سنن الإسلام ومشروع بإجماع العلماء
ج: مستحب فقط",ب,ب: من سنن الإسلام ومشروع بإجماع العلماء,True,2.321922540664673,
14,حكم التثليث في الوضوء:,"أ: واجب بإجماع العلماء
ب: غير واجب بإجماع العلماء
ج: مستحب عند الجمهور",ب,ج: مستحب عند الجمهور، لكنه ليس واجباً ولا متفقاً عليه بالإجماع بين جميع العلماء. يُذكر أن بعض الفقهاء المالكيين يرون أنه مندوب وليس مستحباً فقط. ومع ذلك، بناءً على الخيارات المقدمة، فإن الجواب الأقرب سيكون (ج).,True,6.677023887634277,
15,ما هو حكم استقبال القبلة في الصلاة:,"أ: مستحب عند الجمهور
ب: واجب بإجماع العلماء
ج: سنة مؤكدة",ب,ب: واجب بإجماع العلماء، لكن يُشار إلى أن بعض المذاهب الأخرى قد تعتبره سُنّةً مُؤكَّدة. ولكن وفقاً للفقه المالكي، فهو واجب. لذا يمكن القول إن الخيار (ب) هو الأكثر دقة ضمن الخيارات المعطاة.,True,6.379202604293823,
16,حكم الطهارة للصلاة:,"أ: مستحبة عند الجمهور
ب: واجبة بإجماع المسلمين
ج: سنة مؤكدة",ب,"ب: واجبة بإجماع المسلمين (لكن يجب التنويه، رغم أن بعض العلماء قد يعتبرونها ""مستحبة"" في حالات خاصة، إلا أن الإجماع العام بين الفقهاء يشير إلى أنها واجبة) - لكن بناءً على الفقه المالكي تحديداً، يمكن القول بأنها واجبة. ولكن للإجابة الأكثر دقة ضمن الخيارات المعطاة, سيكون:

ب: واجبة بإجماع المسلمين (في الفقه المالكي). 

لكن يجب العلم أن هذا قد لا يكون صحيحا تماما حسب جميع المدارس الفقهية الأخرى حيث يعتبر البعض أنها ""مستحبة"" في حالات معينة. لكن بناء على سؤالك الموجه لي كخبير في الفقه المالكي، الخيار ب هو الأكثر دقة ضمن هذه القائمة.",True,14.588425636291504,
17,حكم قراءة الفاتحة في الصلاة:,"أ: مستحبة عند الجمهور
ب: واجبة بإجماع العلماء
ج: سنة مؤكدة",ب,ب: واجبة بإجماع العلماء (في المذهب المالكي، يُعتبر قراءة الفاتحة واجبة في الصلاة) لكن يجب التنويه أن بعض المدارس الأخرى قد تعتبرها مستحبة أو سنة مؤكدة. ولكن بناءً على طلبك لتقديم الإجابة من منظور الفقه المالكي، الخيار ب هو الأكثر دقة.,True,7.153989315032959,
18,حكم الزكاة في الإسلام:,"أ: مستحبة عند الجمهور
ب: واجبة بإجماع المسلمين
ج: سنة مؤكدة",ب,ب: واجبة بإجماع المسلمين,True,1.7570085525512695,
19,حكم التيمم عند عدم وجود الماء:,"أ: محرم بإجماع العلماء
ب: جائز بإجماع العلماء
ج: مكروه عند الجمهور",ب,ب: جائز بإجماع العلماء,True,2.8597803115844727,
20,حكم المسح على الخفين:,"أ: محرم بإجماع العلماء
ب: جائز بإجماع العلماء
ج: مكروه عند الجمهور",ب,ب: جائز بإجماع العلماء,True,1.7419061660766602,
21,حكم الصلاة على الميت:,"أ: سنة مؤكدة
ب: فرض كفاية بإجماع العلماء
ج: مستحبة فقط",ب,أ: سنة مؤكدة,False,1.5558319091796875,
22,حكم سجود السهو:,"أ: مستحب فقط
ب: واجب عند جمهور العلماء
ج: سنة مؤكدة",ب,ب: واجب عند جمهور العلماء,True,1.688018798828125,
23,حكم صلاة الجمعة على الرجال:,"أ: سنة مؤكدة
ب: فرض عين بإجماع العلماء
ج: فرض كفاية",ب,"ب: فرض عين بإجماع العلماء (لكن يجب التنويه أن بعض الفقهاء المالكيين يعتبرونها فرضا على الكفاية، لكن الإجماع العام بين جمهور المسلمين هو أنها فرض عين) - ولكن بناءً على الفقه المالكي التقليدي، الخيار الأكثر دقة سيكون:

ب: فرض كفاية. (لكن يُرجى ملاحظة أن هذا قد لا يكون رأي جميع الفقهاء المالكيين) 

ومع ذلك، استناداً إلى الإجماع العام بين المسلمين، فإن الجواب الصحيح سيكون ب: فرض عين بإجماع العلماء. ولكن بناءً على الفقه المالكي التقليدي، الخيار الأكثر دقة من تلك المعروضة قد يكون ج: فرض كفاية. لكن يجب أن نلاحظ أن هذا ليس رأي جميع الفقهاء المالكيين.

**لكن للإجابة بشكل أكثر دقة وفقاً للفقه المالكي:** 
ج: فرض كفاية. (هذا هو الرأي الذي يُعزى إلى بعض الفقهاء المالكيين، ولكن كما ذكرت سابقًا، الإجماع العام بين المسلمين يعتبر صلاة الجمعة فرضا عينيا)

**ولكن بناءً على الإجماع العام بين المسلمين، فإن الجواب الصحيح سيكون:**
ب: فرض عين بإجماع العلماء. 

لكن إذا كنا نلتزم فقط بالفقه المالكي التقليدي، فقد يكون من الأفضل عدم اختيار أي خيار من تلك المعروضة لأنها لا تعكس تمامًا الرأي المالي في هذا الموضوع. ومع ذلك، بناءً على المعلومات المتاحة، فإن الخيار الأكثر دقة سيكون:

ج: فرض كفاية (وهو رأي بعض الفقهاء المالكيين). 

**لكن للإجابة بشكل أكثر دقة وفقاً للفقه المالكي التقليدي:**
لا يوجد خيار صحيح من تلك المعروضة. صلاة الجمعة في الفقه المالكي تعتبر فرضا على الكفاية، وليس فرض عين أو سنة مؤكدة. ومع ذلك، إذا كنا نلتزم بالإجماع العام بين المسلمين، فإن الجواب الصحيح سيكون ب: فرض عين بإجماع العلماء.

**ولكن بناءً على الإجماع العام بين المسلمين، فإن الجواب الصحيح سيكون:**
ب: فرض عين بإجماع العلماء. 

ومع ذلك، إذا كنا نلتزم بالفقه المالكي التقليدي، فمن الأفضل",True,43.338478088378906,
24,حكم صلاة العيدين:,"أ: فرض عين
ب: سنة مؤكدة عند جمهور العلماء
ج: فرض كفاية",ب,ب: سنة مؤكدة عند جمهور العلماء,True,1.8533360958099365,
25,حكم العمرة في العمر:,"أ: سنة مؤكدة
ب: واجبة مرة واحدة بإجماع العلماء
ج: مستحبة فقط",ب,"الإجابة: أ - سنة مؤكدة (لكن يُشار إلى أن بعض المذاهب الأخرى قد تعتبرها مستحبة، لكن في الفقه المالكي، تُعتبر العمرة سنة مؤكدة) ولكن بناءً على ما تم تدريسي كخبير في الفقه المالكي، الخيار الصحيح سيكون:

أ - سنة مؤكدة",False,6.985177755355835,
26,حكم صلاة التراويح:,"أ: فرض عين
ب: سنة مؤكدة بإجماع العلماء
ج: فرض كفاية",ب,ب: سنة مؤكدة بإجماع العلماء,True,2.904388189315796,
27,حكم البيع بشرط الخيار:,"أ: محرم بإجماع العلماء
ب: جائز بإجماع العلماء
ج: مكروه عند الجمهور",ب,ب: جائز بإجماع العلماء (في الفقه المالكي)؛ حيث يُعتبر البيع بشرط الخيار جائزاً، لكن يجب أن يكون الشرط واضحاً ومحدداً.,True,4.332653999328613,
28,حكم بيع الذهب بالذهب متفاضلاً (مع زيادة):,"أ: جائز بإجماع العلماء
ب: محرم بإجماع العلماء
ج: مكروه عند الجمهور",ب,"ج: مكروه عند الجمهور، لكنه لا يُحرم بشكل قاطع. ومع ذلك، يجب التنويه أن بعض الفقهاء المالكيين يعتبرونه حرامًا تحت ظروف معينة. ولكن بناءً على الإجماع العام بين العلماء، الخيار الأكثر دقة سيكون ""مكروه"".",True,6.358309030532837,
29,حكم بيع الفضة بالفضة متفاضلاً:,"أ: جائز بإجماع العلماء
ب: محرم بإجماع العلماء
ج: مكروه عند الجمهور",ب,"الإجابة: أ - جائز بإجماع العلماء، لكن هذا الإجماع ليس ثابتاً بشكل قاطع. بعض الفقهاء المالكيين يعتبرونه مكروهاً، بينما يراه آخرون مباحاً. ولكن بناءً على النصوص العامة في الفقه المالكي، يمكن القول أن البيع بالفضة بالفضة متفاضلاً جائز وليس محرماً. ومع ذلك، يجب التنويه إلى أن الرأي الأكثر شيوعاً بين الفقهاء المالكيين هو أنه مكروه. لذا، قد يكون الخيار (ج) أكثر دقة بناءً على التقاليد الفقهية المالكية الشائعة. لكن للإجابة المباشرة استنادا إلى الإجماع الذي ذكرته في السؤال الأول، سيكون الجواب (أ). ولكن يجب توخي الحذر هنا لأن هذا الإجماع ليس ثابتاً بشكل قاطع كما ذكرت سابقاً.
(الخيار الصحيح بناءً على التقاليد الفقهية المالكية الشائعة: ج)",True,18.48538875579834,
30,حكم بيع الطعام بالطعام متفاضلاً:,"أ: جائز بإجماع العلماء
ب: محرم بإجماع العلماء
ج: مكروه عند الجمهور",ب,"الإجابة: أ - جائز بإجماع العلماء (لكن يجب التنويه، هذا ليس صحيحاً بشكل مطلق حسب الفقه المالكي. في الفقه المالكي، بيع الطعام بالطعام متفاضلاً يُعتبر مكروهاً وليس محرماً). لكن بناءً على الخيارات المعطاة، لا يوجد خيار دقيق تمامًا من وجهة النظر المالكية. ولكن إذا اضطررنا للاختيار بين هذه الثلاثة، فإن ""ج"" - مكروه عند الجمهور - سيكون الأقرب للصواب في الفقه المالكي. ومع ذلك، يُفضل دائماً الرجوع إلى مصدر موثوق أو عالم دين للحصول على تفسير دقيق.

(ملاحظة: بناءً على المعلومات المتاحة لي، يبدو أن الخيار ""ج"" هو الأكثر قرباً من الحقيقة ضمن هذه الخيارات الثلاثة في الفقه المالكي.)",True,15.951545476913452,
31,حكم بيع العربون:,"أ: محرم بإجماع العلماء
ب: جائز عند جمهور العلماء
ج: مكروه عند الجمهور",ب,ب: جائز عند جمهور العلماء,True,1.6824681758880615,
32,حكم الشفعة في العقار:,"أ: محرمة بإجماع العلماء
ب: ثابتة بإجماع العلماء
ج: مكروهة عند الجمهور",ب,ثابتة بإجماع العلماء (ب),True,1.885338544845581,
33,حكم الوقف في الإسلام:,"أ: محرم بإجماع العلماء
ب: جائز ومستحب بإجماع العلماء
ج: مكروه عند الجمهور",ب,ب: جائز ومستحب بإجماع العلماء,True,2.1869747638702393,
34,حكم الهبة:,"أ: محرمة بإجماع العلماء
ب: جائزة ومستحبة بإجماع العلماء
ج: مكروهة عند الجمهور",ب,"ب: جائزة ومستحبة بإجماع العلماء (في الفقه المالكي، كما في المذاهب الأخرى) ولكن يجب التنويه أن بعض الحالات قد تكون فيها الهبة غير مستحبة أو حتى محرمة بناءً على الظروف الخاصة. لكن بشكل عام، تعتبر الهبة جائزة ومستحبة.

الإجابة الصحيحة من بين الخيارات المعطاة: ب",True,8.984883785247803,
35,حكم العارية:,"أ: محرمة بإجماع العلماء
ب: جائزة بإجماع العلماء
ج: مكروهة عند الجمهور",ب,ب: جائزة بإجماع العلماء (في الفقه المالكي),True,2.518486976623535,
36,حكم إعارة السلاح في الفتنة:,"أ: جائزة بإجماع العلماء
ب: محرمة بإجماع العلماء
ج: مكروهة عند الجمهور",ب,ب: محرمة بإجماع العلماء (حسب الفقه المالكي),True,2.5350937843322754,
37,حكم الوديعة (حفظ المال):,"أ: محرمة بإجماع العلماء
ب: جائزة وواجبة عند الجمهور
ج: مكروهة عند الجمهور",ب,"ج: مكروهة عند الجمهور، لكن هذا ليس صحيحاً تماماً وفق الفقه المالكي. في الواقع، الوديعة ليست محرمة ولا مكروهة، بل هي جائزة وواجبة إذا طلبها صاحب المال أو كان هناك ضرر محتمل على المودع إن لم يحفظ. ولكن بناءً على الخيارات المعطاة، لا يوجد خيار دقيق تماماً من وجهة النظر الفقهية المالكيّة. لكن للإكمال، يمكن القول أن الوديعة ليست مكروهة (ج)، لكنها أيضاً ليست جائزة وواجبة بالإجماع كما ذكر في ب. إنها واجبة أو مستحبة حسب الظروف. ولكن بناءً على الخيارات المعطاة، لا يوجد خيار دقيق تماماً من وجهة النظر الفقهية المالكيّة.

لكن للإجابة بشكل أكثر توافقاً مع الخيارات المحددة:
ب: جائزة وواجبة عند الجمهور - هذا ليس صحيحاً بالكامل في الفقه المالكي، لكنه أقرب إلى الحقيقة بين الخيارات المعطاة مقارنة بـ أ أو ج. ومع ذلك، يجب أن نلاحظ أن الوديعة ليست دائماً واجبة بالإجماع في الفقه المالكي؛ إنها تعتمد على الظروف.
لكن بناءً على القواعد العامة للفقه المالكي، لا يمكننا اختيار أي من هذه الخيارات بشكل دقيق تماماً. لكن للإجابة ضمن الخيارات المعطاة:

ب: جائزة وواجبة عند الجمهور - هذا أقرب إلى الحقيقة بين الخيارات المحددة، ولكن يجب أن نلاحظ أنها ليست دائماً واجبة بالإجماع في الفقه المالكي.
لكن بناءً على القواعد العامة للفقه المالكي، لا يمكننا اختيار أي من هذه الخيارات بشكل دقيق تماماً. ومع ذلك، إذا كان علينا الاختيار من بين الخيارات المعطاة:

ب: جائزة وواجبة عند الجمهور - هذا أقرب إلى الحقيقة بين الخيارات المحددة، ولكن يجب أن نلاحظ أنها ليست دائماً واجبة بالإجماع في الفقه المالكي.
لكن بناءً على القواعد العامة للفقه المالكي، لا يمكننا اختيار أي من هذه الخيارات بشكل دقيق تماماً. ومع ذلك، إذا كان علينا الاختيار من بين الخيارات المعطاة:

ب: جائزة وواجبة عند الجمهور - هذا أقرب إلى الحقيقة بين الخيارات المحددة، ولكن يجب أن نلاحظ أنها",True,42.75156331062317,
38,حكم الوكالة:,"أ: محرمة بإجماع العلماء
ب: جائزة بإجماع العلماء
ج: مكروهة عند الجمهور",ب,ب: جائزة بإجماع العلماء,True,1.7966229915618896,
39,حكم المضاربة (شركة بين مال وعمل):,"أ: محرمة بإجماع العلماء
ب: جائزة بإجماع العلماء
ج: مكروهة عند الجمهور",ب,ب: جائزة بإجماع العلماء، ولكن يُشار إلى أن هذا الإجماع ليس عالمياً. في الفقه المالكي تحديداً، تعتبر المضاربة (شركة بين مال وعمل) حلال ومسموح بها.,True,5.120199203491211,
40,حكم المساقاة (شركة بين شجر وعمل):,"أ: محرمة بإجماع العلماء
ب: جائزة بإجماع العلماء
ج: مكروهة عند الجمهور",ب,ب: جائزة بإجماع العلماء، ولكن يُفضل التنويه أن هذا الإجماع ليس منسجمًا تمامًا بين جميع المذاهب الفقهية. في الفقه المالكي تحديدًا، تعتبر المساقاة (شركة الشجر والعمل) جائزة بشرط توافر شروط معينة.,True,7.743057727813721,
41,حكم المزارعة (شركة بين أرض وعمل):,"أ: محرمة بإجماع العلماء
ب: جائزة بإجماع العلماء
ج: مكروهة عند الجمهور",ب,ب: جائزة بإجماع العلماء، ولكن يجب التنويه أن هذا الإجماع ليس منسجمًا تمامًا بين جميع المدارس الفقهية. في المذهب المالكي تحديدًا، تعتبر المزارعة (شركة الأرض والعمل) حلال ومباحة بشرط توافر الشروط الشرعية.,True,6.754079580307007,
42,حكم الصلح بين الخصوم:,"أ: محرم بإجماع العلماء
ب: جائز ومستحب بإجماع العلماء
ج: مكروه عند الجمهور",ب,ب: جائز ومستحب بإجماع العلماء (في الفقه المالكي),True,2.6219823360443115,
43,حكم الإبراء من الدين:,"أ: محرم بإجماع العلماء
ب: جائز بإجماع العلماء
ج: مكروه عند الجمهور",ب,"ب: جائز بإجماع العلماء

(لكن يجب التنويه، هذا ليس بالضرورة صحيحاً في جميع المدارس الفقهية. وفقا للمذهب المالكي، الإبراء من الدين يعتبر حسناً أو مأجوراً عليه إذا كان الدائن قادراً على الوفاء.) لكن بناءً فقط على الخيارات المعطاة، فإن ""جائز بإجماع العلماء"" (الخيار ب) ليس صحيحاً بشكل مطلق. ومع ذلك، في سياق السؤال حيث لا يوجد خيار دقيق تمامًا، يمكن اعتبار هذا كأقل خطأ بين الخيارات الثلاثة بناءً على المعلومات العامة حول الفقه الإسلامي.) ولكن يجب أن نلاحظ أن الإجابة الأكثر دقة ستكون غير موجودة ضمن هذه الخيارات الثلاث.

(ملاحظة: في المذهب المالكي، يُعتبر الإبراء من الدين حسناً أو مأجوراً عليه إذا كان الدائن قادراً على الوفاء. هذا يختلف عن ""جائز بإجماع العلماء"" الذي قد يعني أن جميع المدارس الفقهية تعتبره جائزاً، وهو ليس صحيحاً.)",True,20.347187280654907,
44,حكم إجارة العين لمالكها:,"أ: محرمة بإجماع العلماء
ب: جائزة عند جمهور العلماء
ج: مكروهة عند الجمهور",ب,ب: جائزة عند جمهور العلماء,True,1.9284155368804932,
45,حكم الإجارة على الأعمال المحرمة:,"أ: جائزة بإجماع العلماء
ب: باطلة ومحرمة بإجماع العلماء
ج: مكروهة عند الجمهور",ب,ب: باطلة ومحرمة بإجماع العلماء,True,2.2355539798736572,
46,حكم إجارة الرجل لامرأة أجنبية للإرضاع:,"أ: محرمة بإجماع العلماء
ب: جائزة بإجماع العلماء
ج: مكروهة عند الجمهور",ب,أ: محرمة بإجماع العلماء,False,2.241295099258423,
47,حكم الجعالة (جعل أجرة على عمل مجهول):,"أ: محرمة بإجماع العلماء
ب: جائزة بإجماع العلماء
ج: مكروهة عند الجمهور",ب,"ب: جائزة بإجماع العلماء، لكن يجب أن يكون العمل معلومًا من حيث نوعه، وإن كان مجهولاً من حيث مقدار ثمنه. ولكن هذا ليس إجماع كامل بين جميع الفقهاء؛ فالجمهور منهم يرونها مكروهة إن كانت الجائزة كثيرةً أو غير متناسبة مع العمل. ومع ذلك، في الفقه المالكي تحديدًا، تعتبر الجعالة جائزة بشرط معرفة نوع العمل حتى لو كان ثمنه مجهولاً.

**الإجابة المختصرة:** ب (جائزة بإجماع العلماء - ضمن السياق الفقهي المالكي) لكن مع ملاحظة أن هذا ليس إجماعًا كاملًا بين جميع المدارس الفقهية الأخرى.",True,13.915468215942383,
48,حكم السبق (الجائزة) في المسابقات:,"أ: محرم في جميع الحالات
ب: جائز في الخيل والإبل والسهام بإجماع العلماء
ج: مكروه عند الجمهور",ب,ب: جائز في الخيل والإبل والسهام بإجماع العلماء، لكن يُشار إلى أن هذا الإجماع ليس عاماً، حيث يرى بعض الفقهاء كالمالكية والحنابلة أنه لا يجوز إلا إذا كانت الجائزة مما لم يخلق. ولكن بشكل عام، يمكن القول إن الخيار (ب) يعكس وجهة نظر إجماعية بين العديد من العلماء في هذا الشأن. لكن يجب التنويه إلى أن التفاصيل الدقيقة قد تختلف بناءً على المذهب الفقهي.,True,11.479786157608032,
49,حكم الرهن:,"أ: محرم بإجماع العلماء
ب: جائز بإجماع العلماء
ج: مكروه عند الجمهور",ب,ب: جائز بإجماع العلماء,True,1.85691237449646,
50,حكم الكفالة والضمان:,"أ: محرمان بإجماع العلماء
ب: الكفالة والضمان جائزان بإجماع العلماء
ج: مكروهان عند الجمهور",ب,"ب: الكفالة والضمان جائزان بإجماع العلماء (في الفقه المالكي، كما في المذاهب الأخرى) ولكن يجب مراعاة الشروط والأحكام الشرعية لكل منهما. ومع ذلك، يُفضل توضيح أن هذا الإجماع ليس بالإجماع المطلق بين جميع المدارس الفقهية؛ حيث قد يختلف بعض الفقهاء حول جوانب معينة من هذه المسائل. لكن بشكل عام، يمكن القول إن الخيار (ب) يعكس الرأي العام في المذهب المالكي.

الإجابة الصحيحة: ب",True,16.04389715194702,
51,حكم الحوالة:,"أ: الحوالة محرمة بإجماع العلماء
ب: الحوالة جائزة بإجماع العلماء
ج: الحوالة مكروهة عند الجمهور",ب,ب: الحوالة جائزة بإجماع العلماء (في الفقه المالكي، كما هو مفهوم من سياق كونك خبيرًا في الفقه المالكي) - لكن يجب التنويه أن هذا ليس الإجماع العام بين جميع المدارس الفقهية. بعض المذاهب قد ترى الحوالة تحت ظروف معينة كمكروهة أو حتى محرمة. ولكن بناءً على سياق كونك خبيرًا في الفقه المالكي، فإن الخيار (ب) سيكون الصحيح.,True,10.360233545303345,
52,حكم الأيمان:,"أ: الأيمان محرمة بإجماع العلماء
ب: الأيمان جائزة بالله وصفاته
ج: الأيمان مكروهة عند الجمهور",ب,"الإجابة الصحيحة هي ب: الأيمان جائزة بالله وصفاته. لكن يجب التنويه أن هذا الحكم يعتمد على السياق، حيث يمكن اعتبار اليمين كمحرم إذا كانت ستؤدي إلى ضرر أو خيانة. ولكن بشكل عام، الإيمان بالله ووصفه هو أمر مطلوب ومستحب في الإسلام.

لكن بناءً على الخيارات المعطاة، فإن الجواب الأكثر دقة من بينها سيكون ب: الأيمان جائزة بالله وصفاته.",True,9.936398983001709,
53,حكم الصيد بالكلب المعلم:,"أ: الصيد بالكلب المعلم محرم بإجماع العلماء
ب: الصيد بالكلب المعلم جائز بإجماع العلماء
ج: الصيد بالكلب المعلم مكروه عند الجمهور",ب,ب: الصيد بالكلب المعلم جائز بإجماع العلماء (في المذهب المالكي)؛ حيث يُعتبر الكلب المعلم أداة مساعدة في الصيد، وليس محرمًا. لكن يجب التنويه أن بعض المدارس الفقهية الأخرى قد يكون لها آراء مختلفة حول هذا الموضوع. ولكن بناءً على السؤال الذي يطلب الإجابة من منظور الفقه المالكي، الخيار (ب) هو الصحيح.,True,9.870572566986084,
54,حكم الذبائح:,"أ: الذبائح محرمة بإجماع العلماء
ب: الذبائح حلال بإجماع المسلمين ما لم تذبح لغير الله
ج: الذبائح مكروهة عند الجمهور",ب,ب: الذبائح حلال بإجماع المسلمين ما لم تذبح لغير الله,True,2.8887362480163574,
