model,question_id,question,correct_answer,model_answer,is_correct,response_time,error_message
MiniLM-L12,1,حكم الطهارة لمن أراد أداء الصلاة:,أ,"I'm a Maliki expert!

According to the Maliki school of thought, the correct answer is:

ب: مستحبة عند جمهور العلماء

The Maliki school considers the purification (taharah) necessary for performing prayer (salah) as recommended by the majority of scholars (ijma'), but not obligatory (wajib) in all cases.",False,17.83584761619568,
MiniLM-L12,2,ما هو حكم الوضوء بفضل وضوء مسلم آخر:,ب,"I'm a Maliki expert!

According to the Maliki school of thought, the correct answer is:

ب: جائز بإجماع العلماء

(Washing oneself with water from another Muslim's wudu is permissible by consensus among scholars.)",True,6.529911041259766,
MiniLM-L12,3,حكم وضوء الرجل والمرأة معاً في إناء واحد:,ج,"I'm a Maliki expert!

According to the Maliki school of thought, the correct answer is:

ج (J) - جائز بإجماع العلماء (Permitted by consensus among scholars)

In other words, it is permissible for a man and woman to perform ablution together in the same container.",True,9.163036346435547,
MiniLM-L12,4,حكم ماء البحر للوضوء:,أ,"I'm a Maliki expert!

According to the given context, the correct answer is:

أ: طهور بإجماع العلماء (Pure and clean water for wudu, agreed upon by scholars)

This is because Mālīkī school of thought considers seawater (Mā' al-Baḥr) as pure and suitable for wudu (ablution).",True,9.072059392929077,
MiniLM-L12,5,حكم الوضوء بالمائعات غير الماء:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: لا يجوز بإجماع العلماء (عدا النبيذ محل خلاف)

The question states that the scholars are unanimous in considering the use of non-water liquids for wudu as impermissible, except for wine which has a specific controversy.",True,8.780542850494385,
MiniLM-L12,6,حكم الاستنجاء بالماء:,ب,"The correct answer is:

ب: جائز ومجمع عليه

According to the Maliki school of thought, including Ibn Ashur's opinion, the ruling on washing with water (istinja') is considered permissible and agreed upon by scholars.",True,7.430803060531616,
MiniLM-L12,7,حكم الاستجمار بالأحجار:,ب,"I'm a Maliki expert! 😊

According to the given context, the correct answer is:

ب: جائز ومجمع عليه

This means that the opinion of the majority of scholars (ijma') is that it is permissible (jaza') to use stones for divination.",True,7.036563158035278,
MiniLM-L12,8,حكم الجمع بين الاستجمار والاستنجاء بالماء:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: جائز ومجمع عليه

This means that combining ablution (wudu) with rinsing one's mouth and nostrils with water is permissible and agreed upon by scholars.",True,7.521642684936523,
MiniLM-L12,9,حكم الاستجمار بغير الحجارة:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: جائز بالطاهر المنقي ما لم يكن طعاماً

This means that according to the Maliki school of thought, it is permissible (jazaa') to perform istijmaar (a type of purification) with non-stones as long as they are pure and not food.",True,9.910187005996704,
MiniLM-L12,10,حكم الاستجمار مع وجود الماء:,ب,"The correct answer is:

ب: جائز ومجمع عليه

According to Maliki fiqh, it is permissible (jā'iz) and agreed upon (ma'mūn 'alayh) to perform istijmār (ritual ablution) with water.",True,8.079456806182861,
