model,question_id,question,correct_answer,model_answer,is_correct,response_time,error_message
MiniLM-L12,1,حكم الطهارة لمن أراد أداء الصلاة:,أ,"الخيار الصحيح هو: أ - واجبة بإجماع المسلمين.

في المذهب المالكي، كما في بقية المدارس الفقهية الأخرى، تعتبر الطهارة شرطاً أساسياً لأداء الصلاة، وبالتالي فهي واجبة.",False,15.985953330993652,
MiniLM-L12,2,ما هو حكم الوضوء بفضل وضوء مسلم آخر:,ب,ب: جائز بإجماع العلماء,True,4.336455821990967,
MiniLM-L12,3,حكم وضوء الرجل والمرأة معاً في إناء واحد:,ج,ج: جائز بإجماع العلماء,True,4.660759925842285,
MiniLM-L12,4,حكم ماء البحر للوضوء:,أ,"الإجابة الصحيحة هي: 

أ: طهور بإجماع العلماء",True,6.924086570739746,
MiniLM-L12,5,حكم الوضوء بالمائعات غير الماء:,ب,ب: لا يجوز بإجماع العلماء (عدا النبيذ محل خلاف),True,4.947449684143066,
MiniLM-L12,6,حكم الاستنجاء بالماء:,ب,"ب: جائز ومجمع عليه 

(لكن يجب التنويه، بينما يُعتبر ""الاستنجاء"" بالماء مجمعاً عليه كحكم من قبل الفقهاء المالكيين، بعض العلماء الآخرين قد يرى أنه واجب. لكن بناءً على السياق الذي قدمته حيث ذكر أن الاستنجاء بالماء هو ""جائز ومجمع عليه""، هذا الخيار يبقى صحيحاً ضمن سياق المعلومات الأولية.) 

ومع ذلك، من المهم ملاحظة أن بعض العلماء المالكيين قد يعتبرون الاستنجاء واجباً وليس فقط جائزاً. لكن بناءً على السياق الذي قدمته، ""ب: جائز ومجمع عليه"" هو الخيار الصحيح.
الثقة: 90%",True,17.225223779678345,
MiniLM-L12,7,حكم الاستجمار بالأحجار:,ب,ب: جائز ومجمع عليه,True,4.598349571228027,
MiniLM-L12,8,حكم الجمع بين الاستجمار والاستنجاء بالماء:,ب,ب: جائز ومجمع عليه,True,4.824310064315796,
MiniLM-L12,9,حكم الاستجمار بغير الحجارة:,ب,"الإجابة الصحيحة هي: 
ب: جائز بالطاهر المنقي ما لم يكن طعاماً",True,6.028477430343628,
MiniLM-L12,10,حكم الاستجمار مع وجود الماء:,ب,ب: جائز ومجمع عليه,True,4.375577211380005,
MiniLM-L12,11,حكم الاستنجاء باليد اليمنى:,ب,ب: منهي عنه بإجماع العلماء,True,4.972223281860352,
MiniLM-L12,12,حكم السواك عند الصلاة:,ب,"الإجابة الصحيحة هي ب: مستحب ومشروع بإجماع العلماء.

ومع ذلك، بناءً على السياق المقدم، فإن الإجابة الأكثر دقة ستكون كما يلي: السواك عند الصلاة: سنة مؤكدة خاصة عند الوضوء والصلاة (حسب ابن أبي زيد القيرواني)، وهو مستحب ومشروع بإجماع العلماء. لكن بما أن الخيارات لا تتضمن هذا، فالخيار الأقرب سيكون ب: مستحب ومشروع بإجماع العلماء. ولكن يجب ملاحظة أن الإجابة الأكثر دقة ستكون كما تم تعديلها أعلاه بناءً على قول ابن أبي زيد القيرواني.",True,26.981632709503174,
MiniLM-L12,13,حكم الختان للرجال:,ب,ب: من سنن الإسلام ومشروع بإجماع العلماء,True,6.201670169830322,
